keyword,category
급성복통,CC
만성복통,CC
소화불량,CC
구토,CC
변비,CC
설사,CC
황달,CC
토혈,CC
좌상복부,L
좌중복부,L
좌하복부,L
중상복부,L
중중복부,L
중하복부,L
우상복부,L
우중복부,L
우하복부,L
좌옆구리,L
우옆구리,L
눈,L
얼굴,L
손,L
명치부위,L
간헐적,C
쥐어짜는 듯한,C
VAS,C
호전과 악화 반복,C
점점 심해짐,C
칼로 찌르듯,C
소화불량,C
방사통,C
화끈거리고,C
찢어질듯한,C
뒤틀리는듯한,C
묵직하다,C
뭉치면서,C
일상생활에 지장,C
더부룩,C
속쓰림,C
거품,C
기침,C
음식물 섞여나옴,C
담즙,C
검붉은색 피떡,C
선홍색 피떡,C
구토,C
답답함,C
분출성,C
양,C
색,C
힘주기,C
잔변감,C
항문 막힌 느낌,C
굵기,C
복압,C
굳기,C
항문 통증,C
손가락으로 변 긁어내기,C
주기,C
특이한 냄새,C
더부룩한 느낌,C
배변횟수,C
수양성 설사,C
토혈,C
몸살 증상,C
욱씬거림,C
입마름,C
항문에서 고름이 나와서 속옷을 적심,C
복부덩어리,C
식사 전후 통증 변화,F
자세에 따른 통증 변화,F
특이 음식물 섭취,F
다이어트,F
기침시 통증,F
폭음/과음,F
약물,F
무리한 운동,F
피로,F
여행력,F
위험한 성관계,F
배변에 따른 변화,F
스트레스,F
주위 비슷한 증상,F
대변 습관,F
기호식품,F
예민한 성격,F
귤/당근 과다 섭취,F
민물고기 식이,F
감염력,F
벌레물린적,F
복부수술,F
외상,F
질세척(질세정제),F
체중변화,A
발열,A
오한,A
어지러움,A
옆구리 통증,A
식욕부진,A
오심(=구역),A
구토,A
변비,A
설사,A
회색변,A
지방변,A
혈변,A
흑색변,A
빈뇨,A
절박뇨,A
야간뇨,A
배뇨통,A
혈뇨,A
소변색변화,A
질출혈,A
태동,A
복부 팽만감,A
식은땀,A
황달,A
신물올라옴,A
속부글거림,A
연하곤란,A
우울,A
불안,A
추위불내성,A
더위불내성,A
호흡곤란,A
멍이 잘 듦,A
코피,A
시야 이상,A
근력 저하,A
보행 이상,A
목마름,A
피부건조,A
우울,A
지혈장애,A
관절통,A
부종,A
조기포만감,A
식후불편감,A
배변 직전의 긴박감(+),A
입/항문 궤양,A
점액질 변,A
하복부 통증,A
배변습관 변화,A
뒤무직,A
항문통증/항문덩이,A
전신 출혈 경향,A
경부 강직,A
이명,A
현훈,A
청각저하,A
점점 심해짐,Co
일정함,Co
점점 호전됨,Co
호전과 악화의 반복,Co
간헐적,Co
지속적,Co
처음,Ex
있음,Ex
주기변화,월경주기
규칙적,월경규칙성
불규칙적,월경규칙성
보통,월경량
적음,월경량
많음,월경량
증가,월경량
감소,월경량
없다,월경통
심하다,월경통
질출혈,기타(여)
질분비물,기타(여)
피임,기타(여)
자궁내피임장치,기타(여)
당뇨,과
결핵,과
고혈압,과
간염,과
위궤양,과
요로결석,과
소화기질환,과
부인과질환,과
암,과
고지혈증,과
치질,과
치루,과
신우신염,과
염증성 장질환,과
궤양,과
과민성 장증후군,과
정신질환력,과
소화제,약
제산제,약
진통소염제,약
칼슘제제,약
엽산제,약
철분제,약
혈압약,약
관절염약,약
당뇨약,약
고지혈증약,약
혈압약,약
제산제,약
변비약,약
종합비타민,약
타이레놀(감기약),약
특이사항 없음,E
수술,E
입원,E
척추손상력,E
방사선 조사력,E
만성위염,E
고콜레스테롤혈증,E
결석,E
산부인과 검진,E
소화기질환,E
부인과질환,E
암,E
내시경,E
예방접종,E
특이사항 없음,가
어머니,가
아버지,가
자매,가
형제,가
스트레스,사
직업,사
음주,사
흡연,사
커피,사
식습관,사